dimeter [mm],distance [mm ± 0.01],HRC,number of Sample  
25.59,2.84,51.5,1
25.59,5.16,51.9,1
25.59,7.87,52,1
25.59,9.57,52.7,1
25.59,12.41,52.8,1
25.59,15.83,51.7,1
25.59,18.5,53.9,1
25.59,20.16,53.3,1
25.59,22.14,52.7,1
25.48,2.45,55.3,2
25.48,5.52,54.3,2
25.48,7.11,52.9,2
25.48,8.58,52,2
25.48,9.44,50.5,2
25.48,11.38,46.5,2
25.48,14.46,42.4,2
25.48,17.15,42.3,2
25.48,19.7,40,2
25.48,21.68,45.7,2
25.4,2.96,41.2,3
25.4,5.1,41.4,3
25.4,8.8,38.8,3
25.4,10.92,36.2,3
25.4,13.7,42.5,3
25.4,16.62,39.8,3
25.4,17.42,42,3
25.4,19.49,42.1,3
25.4,21.45,46.8,3
25.4,23.36,52.1,3
,5.18,51.7,5
,7.37,52.2,5
,9.3,51.9,5
,11.2,51.8,5
,14.38,51.2,5
,28.07,51,5
,36.84,51.3,5
,46.28,51,5
24.94,2.75,23.7,6
24.94,5.5,24.7,6
24.94,8.14,24.3,6
24.94,10.38,24.5,6
24.94,12.83,23.1,6
24.94,16.22,23.1,6
,18.71,?,6
24.94,20.48,23.9,6
24.94,21.66,23.5,6
24.94,23.14,22.3,6
25,2.76,42.8,7
25,6.18,44.8,7
25,8.22,30.4,7
25,11.43,34.2,7
25,15.9,37.3,7
25,17.84,44.7,7
25,18.84,53.5,7
25,22.83,55.7,7
,2.69,57.7,8
,6.96,34.9,8
,8.58,25.3,8
,15.27,16.7,8
